CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"192","Cuba","743","N","Primary completion rate, both sexes","93.8","","C","94.0","","C","86.4","","C","83.3","","C","95.7","","C","95.9","","C","96.5","","C","","","","","","","94.1","","C","95.9","","C","95.6","","C","100.2","","C","95.2","","C","91.5","","C","91.4","","C","90.2","","C","91.6","","C","88.5","","C","97.4","","C","98.1","","C","98.4","","C","95.6","","C","93.2","","C","","",""," "," "," "," "," "," "," "," "," "
"196","Cyprus","743","N","Primary completion rate, both sexes","78.6","","C","83.3","","C","82.7","","C","100.8","","C","104.2","","C","99.7","","C","97.2","","C","98.9","","C","","","","100.7","","C","97.7","","C","98.0","","C","100.5","","C","101.2","","C","87.6","","C","100.1","","C","101.1","","C","100.0","","C","100.2","","C","103.2","","C","99.3","","C","101.7","","C","100.1","","C"," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"203","Czech Republic","743","N","Primary completion rate, both sexes","","","","","","","","","","98.1","","C","105.5","","C","105.9","","C","109.6","","C","","","","","","","99.6","","C","99.2","","C","99.1","","C","103.3","","C","98.1","","C","98.4","","C","97.8","","C","93.5","","C","96.2","","C","100.0","","C","105.7","","C","108.9","","C","105.8","","C","102.5","","C","101.0","","C","","",""," "," "," "," "," "," "," "," "," "
"180","Democratic Republic of the Congo","743","N","Primary completion rate, both sexes","","","","52.3","","C","48.6","","C","55.9","","C","47.0","","C","","","","","","","","","","","","","34.7","","C","","","","","","","42.3","","C","","","","","","","","","","","","","54.8","","C","60.1","","C","63.0","","E","64.0","","C","66.6","","C","72.8","","C","72.4","","C","","",""," "," "," "," "," "," "," "," "," "
"208","Denmark","743","N","Primary completion rate, both sexes","95.4","","C","97.8","","C","97.1","","C","99.3","","C","96.9","","C","","","","","","","","","","101.7","","C","101.5","","C","100.2","","C","101.4","","C","105.5","","C","","","","100.7","","C","100.4","","C","102.1","","C","101.8","","C","101.0","","C","98.0","","C","99.1","","C","99.7","","C","98.5","","C","99.6","","C","","",""," "," "," "," "," "," "," "," "," "
"262","Djibouti","743","N","Primary completion rate, both sexes","28.4","","C","24.5","","C","27.5","","C","24.5","","C","27.5","","C","29.6","","C","26.9","","C","24.1","","C","","","","22.7","","C","25.9","","C","25.4","","C"," "," "," ","","","","","","","31.7","","C","36.8","","C"," "," "," ","46.1","","C"," "," "," ","","","","52.5","","C"," "," "," ","52.0","","C","60.6","","C"," "," "," "," "," "," "," "," "," "
"212","Dominica","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","123.0","","C","119.0","","E","119.9","","C","104.6","","C","100.3","","C","102.6","","C","102.1","","C","92.4","","C","94.0","","C","89.3","","C","85.3","","C","82.6","","C","92.5","","C","104.0","","C","102.7","","C","","",""," "," "," "," "," "," "," "," "," "
"214","Dominican Republic","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","62.0","","C","","","","","","","","","","","","","71.9","","C","77.1","","C","","","","89.6","","C","","","","85.4","","C"," "," "," ","82.9","","C","90.1","","C"," "," "," ","91.9","","C","90.8","","C","90.6","","C","90.3","","C","90.4","","C","","",""," "," "," "," "," "," "," "," "," "
"218","Ecuador","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","97.3","","C","95.2","","C","94.4","","C","97.1","","C","","","","97.6","","C","97.5","","C","98.1","","C","98.3","","C","98.2","","C","98.2","","E","102.9","","C","102.8","","C","102.7","","C","","","","","","","102.3","","C","108.5","","C","110.9","","C","110.6","","C","","",""," "," "," "," "," "," "," "," "," "
"818","Egypt","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","93.2","","C","","","","98.4","","E","97.2","","E","95.9","","E","95.5","","E","96.8","","E","99.1","","E","101.1","","C","96.3","","E","100.2","","C"," "," "," ","103.2","","C","105.9","","C"," "," "," ","107.0","","C","110.5","","C","","",""," "," "," "," "," "," "," "," "," "
"222","El Salvador","743","N","Primary completion rate, both sexes","","","","63.0","","C","64.0","","C","66.1","","C","","","","67.0","","C","71.4","","C","","","","74.5","","C","","","","83.0","","E","82.2","","C","81.7","","C","81.7","","C","","","","84.4","","C","84.3","","C","88.3","","C","89.9","","C","92.8","","C","95.4","","C","99.7","","C","101.0","","C","100.6","","C","","",""," "," "," "," "," "," "," "," "," "
"226","Equatorial Guinea","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","53.1","","C","","","","","","","","","","","","","","","","47.7","","C"," "," "," "," "," "," ","38.3","","C"," "," "," ","47.1","","C","","","","","","","45.9","","C","49.3","","C","52.5","","C","51.8","","C","54.8","","C","","","","","",""," "," "," "," "," "," "," "," "," "
