CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"214","Dominican Republic","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","","C","81.0","","C","","","","93.6","","C","","","","87.6","","C"," "," "," ","86.2","","C","92.5","","C"," "," "," ","91.8","","C","90.2","","C","91.7","","C","91.4","","C","91.0","","C","","",""," "," "," "," "," "," "," "," "," "
"218","Ecuador","745","N","Primary completion rate, girls","","","","","","","","","","","","","97.9","","C","95.9","","C","95.0","","C","97.4","","C","","","","98.3","","C","97.9","","C","98.9","","C","98.7","","C","98.7","","C","98.7","","E","103.5","","C","102.9","","C","103.3","","C","","","","","","","103.0","","C","109.4","","C","111.9","","C","111.3","","C","","",""," "," "," "," "," "," "," "," "," "
"818","Egypt","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","87.0","","C","","","","94.3","","E","93.5","","E","92.8","","E","94.6","","E","94.5","","E","97.2","","E","96.6","","C","94.5","","E","97.7","","C"," "," "," ","101.4","","C","104.4","","C"," "," "," ","105.5","","C","110.2","","C","","",""," "," "," "," "," "," "," "," "," "
"222","El Salvador","745","N","Primary completion rate, girls","","","","64.2","","C","65.3","","C","67.3","","C","","","","68.6","","C","71.9","","C","","","","75.2","","C","","","","81.9","","E","82.7","","C","82.4","","C","82.4","","C","","","","85.4","","C","85.0","","C","90.1","","C","91.4","","C","94.1","","C","95.1","","C","99.8","","C","101.3","","C","101.2","","C","","",""," "," "," "," "," "," "," "," "," "
"226","Equatorial Guinea","745","N","Primary completion rate, girls","","","","","","","","","","","","","49.9","","C","","","","","","","","","","","","","","","","41.6","","C"," "," "," "," "," "," ","31.7","","C"," "," "," ","45.9","","C","","","","","","","44.2","","C","48.3","","C","52.6","","C","52.2","","C","55.3","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"232","Eritrea","745","N","Primary completion rate, girls","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"233","Estonia","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","80.4","","C","90.9","","C","","","","88.5","","C","92.5","","C","93.9","","C","99.3","","C","102.6","","C","105.3","","C","103.7","","C","105.2","","C","97.3","","C","97.3","","C","97.2","","C","97.9","","C","95.3","","C","94.7","","C","95.8","","C","98.4","","C","","",""," "," "," "," "," "," "," "," "," "
"231","Ethiopia","745","N","Primary completion rate, girls","","","","","","","","","","","","","12.1","","C","11.3","","C","11.8","","C","","","","12.7","","C","14.1","","C","15.9","","C","19.7","","C","22.5","","C","25.5","","C","29.1","","C","36.1","","C","42.0","","E"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," "
"234","Faeroe Islands","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"238","Falkland Islands (Malvinas)","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
